CaseID,Cruisedbefore,Howmany,Intend,Abiltravel,Abilspend,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_7,Motivation_8,TopDestination,TopCruiseline,TopLength,Demos1,Demos2,Demos3
112,1,2,1,2,2,1,1,1,0,0,1,0,0,5,2,4,1,2,6
115,1,3,1,1,1,1,1,0,0,0,1,1,0,1,3,5,5,2,3
116,1,4,1,1,1,1,0,0,1,0,1,0,1,6,5,4,5,2,5
117,2,0,2,2,2,0,0,1,0,0,1,1,1,4,3,1,1,5,3
118,1,1,3,1,2,0,0,0,1,0,1,1,0,6,1,1,4,2,5
119,2,0,3,2,2,1,0,1,1,0,0,1,0,4,1,1,1,2,6
121,1,3,1,2,2,0,1,1,0,0,1,1,0,2,4,4,2,2,3
122,1,3,1,2,2,1,0,1,1,0,1,0,0,4,1,5,1,2,6
123,2,0,1,1,2,1,0,1,0,0,1,1,0,2,2,1,1,1,6
127,2,0,3,1,1,0,1,1,0,0,1,1,0,2,1,1,5,2,2
128,2,0,1,3,1,1,1,0,0,0,1,0,0,4,3,1,5,4,2
129,2,0,1,3,1,1,0,1,1,0,0,0,1,4,2,2,1,2,2
131,1,1,1,2,2,0,0,1,0,0,1,1,0,4,3,1,1,2,4
134,1,3,2,2,2,0,0,0,1,0,1,1,1,6,3,3,1,1,6
135,1,3,2,2,2,1,1,0,0,0,1,1,0,2,3,1,5,2,5
137,1,1,1,1,2,1,0,0,1,0,1,0,0,6,5,4,5,2,6
138,1,1,2,2,2,1,0,0,0,0,1,0,0,4,2,1,5,2,3
139,1,1,1,2,3,1,0,0,1,1,1,0,0,6,1,1,2,5,3
140,2,0,1,2,2,1,1,0,0,0,1,1,0,6,2,1,6,2,5
141,1,2,1,1,2,1,0,0,1,0,1,1,0,4,6,4,5,5,6
143,1,3,1,2,2,0,1,0,1,0,1,1,0,6,6,1,5,2,2
145,2,0,3,2,3,1,0,1,0,0,1,1,0,2,6,1,1,2,5
147,1,3,2,2,2,1,0,1,0,0,1,1,0,6,3,5,1,1,6
151,2,0,1,2,3,1,0,0,1,0,1,0,1,4,2,4,3,2,2
152,1,3,1,1,2,0,1,0,1,0,1,1,0,6,4,3,1,2,4
153,1,3,1,1,1,1,1,0,1,0,1,0,0,6,1,4,5,2,6
156,2,0,1,2,2,1,0,1,0,1,0,1,0,5,1,4,1,2,5
160,2,0,2,2,2,0,0,1,0,1,1,1,0,2,6,2,5,2,3
161,1,3,1,1,1,1,0,0,1,1,1,0,0,4,2,2,1,2,5
163,1,1,2,2,1,0,0,0,1,0,1,1,0,6,3,1,1,2,6
164,1,3,1,2,2,1,0,1,1,0,1,0,0,3,3,4,1,2,4
165,2,0,1,1,1,0,0,1,0,1,1,1,0,3,2,3,1,2,5
166,1,1,2,3,3,0,1,0,1,0,0,0,0,2,3,4,1,2,2
167,1,2,3,2,1,1,0,1,0,0,1,1,0,6,2,3,1,5,6
168,1,1,1,2,2,1,0,1,0,0,1,1,0,3,3,3,2,2,7
169,1,2,2,1,2,1,1,1,0,0,0,1,0,4,2,1,5,4,3
171,2,0,2,1,2,1,1,1,0,0,1,0,0,2,3,1,4,2,2
172,1,4,1,1,2,1,1,1,0,0,1,0,0,2,3,2,5,2,3
173,2,0,2,2,2,1,0,0,1,0,1,1,0,2,5,1,1,1,3
174,2,0,3,1,3,1,1,0,0,0,1,0,0,4,6,1,5,2,7
175,2,0,2,2,2,1,0,1,1,0,0,1,0,6,1,3,4,2,3
176,1,2,2,2,2,1,0,0,1,0,1,0,0,3,2,1,1,2,4
179,1,1,2,1,2,0,1,0,0,0,1,1,1,6,6,5,1,2,3
180,2,0,1,3,3,0,0,1,0,0,1,1,1,6,2,5,1,2,3
181,2,0,3,1,1,1,1,1,0,1,0,0,0,2,1,5,1,1,5
184,1,2,1,3,2,1,0,0,1,0,1,1,0,5,3,1,1,5,5
186,1,1,3,2,2,1,0,0,1,0,1,1,0,6,4,1,1,2,6
188,1,3,2,1,1,1,0,0,1,0,1,1,0,5,5,3,5,2,5
189,2,0,1,1,2,1,1,0,0,0,1,1,0,2,2,4,3,2,2
192,2,0,3,1,2,1,0,0,1,0,1,0,1,3,3,3,5,2,4
193,1,5,2,1,2,1,1,0,1,0,1,0,0,6,6,5,5,2,3
194,1,1,1,3,3,1,1,1,0,0,0,1,0,3,3,1,1,2,2
195,1,1,2,3,3,0,1,1,1,0,0,0,1,2,3,1,1,2,3
196,1,1,1,3,3,1,1,0,0,0,1,1,0,2,3,1,4,2,5
197,2,0,1,2,3,1,0,1,0,0,1,0,1,6,4,3,1,1,4
198,2,0,2,2,1,1,0,1,0,0,1,1,0,3,3,2,1,1,4
199,1,3,1,1,1,1,0,1,0,0,1,1,0,3,6,3,1,2,5
201,2,0,2,1,1,1,0,0,1,0,1,0,0,4,1,1,1,1,4
204,2,0,3,2,2,1,0,0,0,0,1,1,0,6,5,1,1,3,5
205,2,0,1,3,2,0,0,1,0,0,1,1,1,3,3,1,1,1,5
207,2,0,1,1,2,0,0,1,0,1,1,1,0,4,2,1,1,5,6
208,2,0,2,2,2,1,0,1,1,1,0,0,0,5,1,3,2,2,5
210,2,0,2,1,3,0,0,1,0,0,1,1,1,6,4,4,4,2,3
211,2,0,3,3,3,1,0,0,1,1,1,0,0,2,3,5,6,2,2
213,2,0,1,2,2,1,1,0,0,0,1,1,0,3,1,1,1,2,4
214,1,2,1,1,1,1,0,0,1,0,0,0,0,4,1,5,1,2,6
218,1,4,1,1,1,0,0,0,0,0,0,1,0,5,4,1,1,2,4
219,2,0,2,2,2,0,1,1,0,0,1,1,0,6,3,5,4,2,3
221,1,3,2,1,1,1,0,0,0,1,1,0,0,5,2,4,1,5,3
222,1,5,1,1,1,0,0,1,1,0,1,0,0,5,2,4,1,2,5
223,2,0,2,1,2,1,0,0,0,0,1,1,1,5,2,1,1,2,5
226,2,0,2,1,3,0,0,0,0,0,1,0,0,4,5,1,6,3,3
229,2,0,2,1,1,0,1,1,0,1,1,0,0,6,3,1,1,1,7
230,2,0,2,2,3,1,0,0,1,0,0,0,0,6,5,1,5,2,5
231,1,1,1,1,2,1,0,0,1,0,1,1,0,5,5,5,5,5,6
232,2,0,2,1,1,1,1,0,0,0,1,1,0,4,3,4,5,2,2
233,2,0,1,2,3,1,0,1,1,0,1,0,0,4,6,4,1,2,2
234,2,0,1,2,2,1,0,1,0,0,1,1,0,3,2,4,4,2,3
235,1,3,1,1,2,1,1,1,0,0,0,0,0,2,3,5,4,2,6
236,1,1,3,2,1,1,0,0,0,0,1,1,0,6,5,2,2,4,6
237,1,3,1,2,3,1,0,1,0,0,1,1,0,1,3,1,1,2,3
238,2,0,3,1,2,0,0,0,1,0,1,0,0,4,5,1,5,4,2
239,2,0,3,1,2,1,0,0,1,0,1,1,0,5,1,1,2,2,3
240,2,0,1,1,2,0,0,0,1,0,1,1,1,5,6,4,1,1,5
